Nama,Gambar-src,Bahan,Cara Buat,Reaksi,Clean_Bahan
Mie Shirataki kornet sapi,https://img-global.cpcdn.com/recipes/97ee6c4e938320a2/680x482cq70/mie-shirataki-kornet-sapi-foto-resep-utama.jpg,"2 blok mie shirataki kering,secukupnya sawi,kornet sapi secukupnya (aku biasanya 2 sdm),garam,kaldu jamur,secukupnya minyak wijen,1 siung bawang putih","Rebus mie shirataki hingga matang, kemudian tiriskan,Tumis bawang putih menggunakan minyak wijen, setelah harum masukkan kornet sapi hingga matang, tambahkan sedikit air, masukkan sawi, mie shirataki. masukkan bumbu lainnya, jgn lupa di icip.","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 1""},{""Reaksi"":""👏\n 2""}]","['blok', 'mie', 'shirataki', 'keringsecukupnya', 'sawikornet', 'sapi', 'sdmgaramkaldu', 'jamursecukupnya', 'minyak', 'wijen', 'bawang', 'putih']"
Bola Tahu Keju (Cemilan 3 Bahan),https://img-global.cpcdn.com/recipes/d85fb80545c63a95/680x482cq70/bola-tahu-keju-cemilan-3-bahan-foto-resep-utama.jpg,"1 blok tahu putih (150 g),3 sdm tepung bumbu instan (saya pakai tepung Tempe Kriuk Kobe),Secukupnya keju (saya pakai mozza cheese emina),Secukupnya minyak buat menggoreng","Berdoa.,Haluskan tahu dan mix dengan tepung bumbu.,Potong-potong keju.,Ambil kira-kira sesendok makan adonan. Pipihkan dan isi keju, lalu bulatkan.,Goreng hingga kecokelatan.,Cepet jadinya...,Angkat. Hidangkan dengan cabe, atau saus kesukaan. Mantul.","[{""Reaksi"":""😋\n 11""},{""Reaksi"":""❤️\n 35""},{""Reaksi"":""👏\n 9""}]","['blok', 'putih', 'tepung', 'tepung', 'tempe', 'kriuk', 'kobesecukupnya', 'keju', 'mozza', 'cheese', 'eminasecukupnya', 'minyak', 'goreng']"
Ca Brokoli Shiitake Udang Saus Tiram Simple,https://img-global.cpcdn.com/recipes/cf289a58f935404f/680x482cq70/ca-brokoli-shiitake-udang-saus-tiram-simple-foto-resep-utama.jpg,"1 bonggol brokoli, potong foret dan batang menjadi persegi panjang,1-2 buah bawang putih, cacah halus,1/2 ruas jahe cacah dan beri air 50 ml lalu remas hingga mengeluarkan sari,3-4 buah jamur shiitake (hioko), rendam dengan air panas lalu potong panjang,2 sdm saus tiram,1 sdt gula,1 sdt kaldu bubuk,6-8 buah udang kecil,2 sdt kecap asin,1 buah cabai keriting (opsional),1-2 tetes minyak wijen,Larutan pengental,1 sdm tepung maizena,100 ml air","Rebus brokoli setengah matang agar tidak overcook selama 1-2 menit.,Tumis bawang putih, lalu masukan jamur dan udang. Tumis hingga udang matang. Masukan brokoli dan sedikit air sisa rendaman jamur.,Beri saus tiram, kecap asin, gula, kaldu dan air sari jahe. Aduk hingga merata agar bumbu merata dan air sedikit menyusut dengan api kecil selama 2-3 menit.,Besarkan api ke sedang dan masukan larutan pengental, cepat aduk. Lalu masukan cabai dan minyak wijen untuk finishing. Masak sebentar saja agar wangi minyak wijen tidak hilang.,Siap disajikan bersama lauk dan nasi hangat.","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 4""}]","['bonggol', 'brokoli', 'foret', 'persegi', 'bawang', 'putih', 'cacah', 'jahe', 'cacah', 'air', 'remas', 'keluar', 'sari', 'jamur', 'shiitake', 'hioko', 'rendam', 'air', 'panas', 'saus', 'tiram', 'gula', 'kaldu', 'bubuk', 'udang', 'kecap', 'asin', 'cabai', 'keriting', 'tetes', 'minyak', 'wijenlarutan', 'kental', 'tepung', 'maizena', 'air']"
SOP KEMBANG KOL Segar Berempah▪,https://img-global.cpcdn.com/recipes/8ab606a245f25737/680x482cq70/sop-kembang-kol-segar-berempah-foto-resep-utama.jpg,"1 bonggol sedang kembang kol, iris,2 bh wortel berastagi, iris,8 btg buncis, iris serong,1 bh tomat, iris kecil, pisahkan bagian tengah & daging buahnya,5 bh bakso, iris,2 btg daun bawang & seledri,3 siung bawang putih, cincang,1 bh bawang bombai, cincang,1/4 biji pala,3 bh kapulaga, geprek sedikit,3 btr cengkeh,1 sdt lada bubuk,2 sdt/secukupnya garam,1,2 liter air kaldu ayam (me:dari rebusan tulang, sayap & ceker),2 sdm bawang goreng utk taburan","Didihkan air kaldu ayam bersama pala, kapulaga, cengkeh, lada bubuk, dan tomat bagian tengah (biji & hati tomat).,Sementara itu tumis bawang bombai dan bawang putih sampai matang, lalu masukkan ke dalam rebusan kaldu. Biarkan sampai tercium harum.,Masukkan bakso. Setelah mendidih kembali, tambahkan kembang kol, wortel, buncis, dan garam, masak +- 4-5 menit dgn api sedang.,Tambahkan tomat (bagian daging buahnya), daun bawang & seledri, masak sebentar sampai mendidih kembali.,Taburi bawang goreng, sajikan hangat.","[{""Reaksi"":""😋\n 4""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 2""}]","['bonggol', 'kembang', 'kol', 'wortel', 'berastagi', 'btg', 'buncis', 'serong', 'tomat', 'pisah', 'daging', 'buah', 'bakso', 'btg', 'bawang', 'seledri', 'bawang', 'putih', 'bawang', 'bombai', 'biji', 'pala', 'kapulaga', 'btr', 'cengkeh', 'lada', 'bubuk', 'sdtsecukupnya', 'garam', 'liter', 'air', 'kaldu', 'ayam', 'medari', 'rebus', 'tulang', 'sayap', 'ceker', 'bawang', 'goreng', 'tabur']"
Telor Ceplok Kuah Santan,https://img-global.cpcdn.com/recipes/d74711b6f7451984/680x482cq70/telor-ceplok-kuah-santan-foto-resep-utama.jpg,"6 btr telor,5 bh tahu kulit,2 papan Pete, kupas belah jadi dua,3 bh cabe hijau besar,10 bh cabe rawit utuh,500 ml santan segar,Bumbu halus :,9 bh bawang merah,6 siung bawang putih,15 bh cabe rawit,5 bh cabe merah besar,1 ruas kunyit,Bumbu cemplung :,1 ruas lengkuas, digeprek,2 lbr daun salam,Bumbu seasoning :,1 sdm gula merah,1 sdt garam,1 sdt kaldu jamur","Siapkan bahan-bahannya,Ceplok telor, sisihkan.,Haluskan bumbu, kemudian

tumis bumbu halus hingga matang dan harum. Lalu masukkan daun salam dan lengkuas, tumis kembali hingga layu.,Masukkan santan dan pete,potongan cabe hijau besar, lalu tambahkan bumbu seasoning yaitu gula merah, kaldu jamur dan garam. 

Koreksi rasa.,Masukkan tahu kulit, telor ceplok dan cabe rawit utuh, masak hingga mendidih. Matikan api, sajikan dengan nasi hangat.,Matang, matikan api.,Sajikan dengan nasi hangat yuumy😋,Selamat mencoba 👍👩‍🍳","[{""Reaksi"":""😋\n 9""},{""Reaksi"":""❤️\n 16""},{""Reaksi"":""👏\n 9""}]","['btr', 'telor', 'kulit', 'papan', 'pete', 'kupas', 'belah', 'cabe', 'hijau', 'cabe', 'rawit', 'utuh', 'santan', 'segarbumbu', 'bawang', 'merah', 'bawang', 'putih', 'cabe', 'rawit', 'cabe', 'merah', 'kunyitbumbu', 'cemplung', 'lengkuas', 'digeprek', 'salambumbu', 'seasoning', 'gula', 'merah', 'garam', 'kaldu', 'jamur']"
Telur Kuah Santan,https://img-global.cpcdn.com/recipes/e0682fba372253a9/680x482cq70/telur-kuah-santan-foto-resep-utama.jpg,"4 btr telur direbus (asli diceplok),4 bh tahu putih iris serong,1 ruas lengkuas geprek (skip),2 lbr daun salam,7 bh Cabai hijau iris serong,300 ml santan,Bumbu halus:,6 siung bawang merah,3 siung bawang putih,2 btr kemiri sangrai,2 bh Cabai merah keriting,1/2 sdt kunyit bubuk,1/2 sdt lada bubuk,secukupnya Gula dan garam","Rebus telur sampai matang, kupas sisihkan, goreng tahu hingga berkulit, sisihkan,Haluskan bumbu, panaskan wajan dg sedikit minyak, tumis bumbu dan daun salam hingga harum, masukkan santan, jika sudah mendidih tambahkan gula dan garam secukupnya, tes rasa,Masukkan telur,tahu, dan Cabai hijau, aduk merata, sesekali diaduk agar santan tdk pecah, jika bumbu sdh meresap dan kuah sedikit menyusut matikan api, sajikan hangat.","[{""Reaksi"":""😋\n 18""},{""Reaksi"":""❤️\n 34""},{""Reaksi"":""👏\n 21""},{""Reaksi"":""❤️\n 1""},{""Reaksi"":""👏\n 2""}]","['btr', 'telur', 'rebus', 'asli', 'ceplok', 'putih', 'serong', 'lengkuas', 'skip', 'salam', 'cabai', 'hijau', 'serong', 'santanbumbu', 'bawang', 'merah', 'bawang', 'putih', 'btr', 'kemiri', 'sangrai', 'cabai', 'merah', 'keriting', 'kunyit', 'bubuk', 'lada', 'bubuksecukupnya', 'gula', 'garam']"
Telur Santan Kemangi,https://img-global.cpcdn.com/recipes/6278386a6ac23bc2/680x482cq70/telur-santan-kemangi-foto-resep-utama.jpg,"7 btr telur rebus,kupas,goreng,1/4 sdt merica bubuk,1/2 sdt garam,1 sdt gula pasir,500 ml air,1 bungkus santan kara,1 ikat kemangi,petik daunnya,2 cm lengkuas geprek,1 lmbr daun salam,3 lmbr daun jeruk,1 btg serai,geprek,Bumbu halus :,6 btr bawang merah,3 siung bawang putih,5 bh cabe merah,5 bh cabe rawit (tambahan dari saya),3 btr kemiri,3 cm kunyit,2 cm jahe,1,5 sdt terasi","Tumis bumbu halus bersama serai,salam,daun jeruk dan lengkuas sampai harum dan benar2 matang.,Tambahkan air,aduk rata,didihkan.,Masukkan telur garam,gula,merica bubuk dan santan,aduk rata.,Masak sampai kuah agak menyusut. Terakhir masukkan kemangi,masak sebentar,test rasa,angkat,sajikan.","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 18""},{""Reaksi"":""👏\n 8""}]","['btr', 'telur', 'rebuskupasgoreng', 'merica', 'bubuk', 'garam', 'gula', 'pasir', 'air', 'santan', 'kara', 'kemangipetik', 'daun', 'cm', 'lengkuas', 'lmbr', 'salam', 'lmbr', 'jeruk', 'btg', 'seraigeprekbumbu', 'btr', 'bawang', 'merah', 'bawang', 'putih', 'cabe', 'merah', 'cabe', 'rawit', 'tambah', 'btr', 'kemiri', 'cm', 'kunyit', 'cm', 'jahe', 'terasi']"
Dadar Telur Tahu,https://img-global.cpcdn.com/recipes/7c8cd00accd002c8/680x482cq70/dadar-telur-tahu-foto-resep-utama.jpg,"2 btr telur,1 bh tahu potong,1 btg daun bawang iris,3 bh cabe setan iris,secukupnya Garam dan lada bubuk","Masukkan telur, bawang dan cabe kedalam bowl,Masukkan tahu yg sudah di potong kecil2 aduk rata,Panaskan minyak, goreng telur hingga matang kecoklatan,Sajikan","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 16""},{""Reaksi"":""👏\n 13""}]","['btr', 'telur', 'btg', 'bawang', 'cabe', 'setan', 'irissecukupnya', 'garam', 'lada', 'bubuk']"
Ceplok Monster Ceria,https://img-global.cpcdn.com/recipes/b7fae4392897300f/680x482cq70/ceplok-monster-ceria-foto-resep-utama.jpg,"1 btr telur,Sejumput garam,1 lbr kecil nori panggang,Edible flower (saya bunga telang & bunga zinnia),1 sdt margarin","Siapkan bahan yg diperlukan. Iris2 nori sesuai imajinasi (lupa difoto),Panaskan margarin, Ceplok telur dlm teflon gunakan api paling kecil, taburi sedikit garam, mulai tata bunga2 & nori bentuk rumput, terakhir taburi nori yg sudah diiris halus. Sajikan,Selamat menikmati ❤️(jika suka telur yg matang, bisa dibalik telurnya untuk mematangkan sisi yg lain)","[{""Reaksi"":""😋\n 10""},{""Reaksi"":""❤️\n 21""},{""Reaksi"":""👏\n 15""}]","['btr', 'telursejumput', 'garam', 'nori', 'panggangedible', 'flower', 'bunga', 'telang', 'bunga', 'zinnia', 'margarin']"
Sambal goreng ati kambing dan kentang,https://img-global.cpcdn.com/recipes/31c8cf36fdaeda4d/680x482cq70/sambal-goreng-ati-kambing-dan-kentang-foto-resep-utama.jpg,"3 buah Kentang,250 gr Ati kambing,2 buah Tomat,Tomat paste,2 buah Bawang putih,1 buah Bawang Bombay,Ketumbar,Lada,Kayu manis,Jintan,Pala,Garam,Cabai hijau dan merah besar,Gula","Cuci bersih ati kambing, Kentang dan bahan bahan,Tumis bawang bombay, bawang putih, tomat, cabai sampai harum,Tambahkan air dan bumbu bumbu (jintan, kayu manis, lada, ketumbar, pala)tomat pasta,Masukan kentang,ati kambing tambahkan garam, gula lalu koreksi rasa, masak sampai matang dan kuah mengering,Sambal goreng ati kambing dan kentang siap dihidangkan kali ini teman.makannya bukan nasi tapi roti,Selamat mencoba","[{""Reaksi"":""❤️\n 2""}]","['kentang', 'ati', 'kambing', 'tomattomat', 'paste', 'bawang', 'putih', 'bawang', 'bombayketumbarladakayu', 'manisjintanpalagaramcabai', 'hijau', 'merah', 'besargula']"
Kepala Ayam Goreng Sereh ala rumah,https://img-global.cpcdn.com/recipes/29fb6c3477e886b6/680x482cq70/kepala-ayam-goreng-sereh-ala-rumah-foto-resep-utama.jpg,"7 buah Kepala Ayam,secukupnya Minyak Goreng,secukupnya Air,Bumbu halus,3 siung Bawang Putih,2 siung Bawang merah,1/2 sendok teh Ketumbar,1/4 sendok teh Merica bubuk,2 jari Jahe,2 ruas Kunyit,4 batang Sereh ambil yang bagian putihnya (dihaluskan /iris tipis/parut),5 lembar Daun Salam,2 lembar Daun Jeruk Purut,secukupnya Garam,Kaldu bubuk (optional)","Bersihkan kepala ayam, cuci bersih, buang mulutnya (potong cucuknya) kemudian dibelah tapi tidak sampai putus. Rebus di air mendidih sebentar dan dibuang airnya. Sisihkan.,Haluskan bumbu bumbu (duo bawang.ketumbar,kunyit,jahe) uleg atau blender. Sereh di haluskan (iris tipis atau parut) atau d. Sisihkan,Marinasi kepala ayam dengan bumbu halus, daun salam, sereh, aduk rata diamkan 10 menit, kemudian direbus lagi dengan sedikit air agar bumbu meresap. Rebus dengan api kecil sedang hingga air menyusut.,Selanjutnya siap digoreng, goreng dalam minyak panas, api sedang. Goreng kepala ayam hingga kuning emas kecoklatan. Selesai...alhamdulillah siap disajikan. Selamat mencoba semoga bermanfaat.,Sajikan dengan sambal sesuai selera...Alhamdulillah gurih dan sedep 🤗","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 1""}]","['kepala', 'ayamsecukupnya', 'minyak', 'gorengsecukupnya', 'airbumbu', 'bawang', 'putih', 'bawang', 'merah', 'teh', 'ketumbar', 'teh', 'merica', 'bubuk', 'jahe', 'kunyit', 'sereh', 'putih', 'halus', 'tipisparut', 'salam', 'jeruk', 'purutsecukupnya', 'garamkaldu', 'bubuk']"
Tumis Labu Tempe,https://img-global.cpcdn.com/recipes/55e491cbe8d8476d/680x482cq70/tumis-labu-tempe-foto-resep-utama.jpg,"3 buah Labu Kecil, iris kecil,1/4 bagian Tempe, iris kecil,2 buah Rawit Merah, iris,1 buah Cabe Merah besar, iris,2 buah Bawang Putih,3 buah Bawang Merah,Sedikit Minyak, untuk tumis,Secukupnya Air,Secukupnya Garam, lada, kaldu bubuk","Siapkan bahan dan siangi. Iris bawang dan cabai sisihkan.,Panaskan minyak untuk menumis duo bawang. Setelah harum masukan labu aduk hingga rata.,Kemudian masukan garam, lada, kaldu bubuk aduk hingga rata. Kemudian masukan tempe, cabe dan air agar labu matang.,Masak hingga labu layi dan matang.,Sajikan.","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 13""}]","['labu', 'tempe', 'rawit', 'merah', 'cabe', 'merah', 'bawang', 'putih', 'bawang', 'merahsedikit', 'minyak', 'tumissecukupnya', 'airsecukupnya', 'garam', 'lada', 'kaldu', 'bubuk']"
Kentang masak Sarden,https://img-global.cpcdn.com/recipes/0f2a64effda47ad4/680x482cq70/kentang-masak-sarden-foto-resep-utama.jpg,"3 buah Sarden kaleng kcl,500 gr Kentang kupas,3 tangkai daun bawang,2 siung Bawang putih,3 butir bawang mersh,1/2 butir Bawang Bombay,3 butir cabe merah(sesuai selera),500 ml Air Putih","Persiapkan bhnnya,Potong Kentang sesuai selera,iris baput bamer,potong tomat,Panaskan minyak goreng,tumis bawangmerah,lanjut baput lalu bawang Bombay,setelah harum masukkan potongan kentang,biarkan setengah matang,lanjut masukkan tomat bersama cabe orange,Masukkan ikan sarden,tambahkan air putih tutup penggorengan,lalu setelah mendidih masukkan potongan daun bawang,biarkan sebentar sampai setengah layu,Matikan kompor siap dihidangkan","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 2""}]","['sarden', 'kaleng', 'kcl', 'kentang', 'kupas', 'tangkai', 'bawang', 'bawang', 'putih', 'butir', 'bawang', 'mersh', 'butir', 'bawang', 'bombay', 'butir', 'cabe', 'merahsesuai', 'air', 'putih']"
Sawi kukus isi tahu kornet,https://img-global.cpcdn.com/recipes/eedd61d960b821f4/680x482cq70/sawi-kukus-isi-tahu-kornet-foto-resep-utama.jpg,"2 buah Sawi Putih ukuran kecil-sedang,4 buah Tahu Putih,1 bungkus Kornet Sapi instan (yang sachet itu lho kak),1 butir Telur,1 sdt Lada Bubuk,1 sdt Penyedap Rasa","Cuci bersih Sawi, buang bonggolnya karena kita pake daunnya saja. Ambil yang agak lebar aja ya. Yang kecil juga gapapa sih terserah kalian soalnya nanti digulung.,Panaskan kukusan yang sudah diisi air. Lalu kukus sawi yang sudah dibersihkan tadi sampai agak layu. Sisihkan.,Untuk campuran isi, hancurkan tahu sampai halus. Tambahkan kornet, lada, penyedap rasa, dan telur. Aduk sampai rata.,Siapkah lembaran sawi yang tadi. Letakan 1 sendok makan campuran isiannya lalu gulung. Lanjut sampai semua sawi dan isian habis.,Kukus lagi kurang lebih 5 menit. Siap disajikan dehh. Klaim : menurutku dimakan begitu aja juga enak atau mau dipakaikan saos kayak teriyaki, lada hitam, bangkok, asam manis juga enak! Selamat mencoba🙏🏻","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 9""},{""Reaksi"":""👏\n 2""}]","['sawi', 'putih', 'kecilsedang', 'putih', 'kornet', 'sapi', 'sachet', 'lho', 'kak', 'butir', 'telur', 'lada', 'bubuk', 'sedap']"
Mun Tahu Telur - Menu Anak,https://img-global.cpcdn.com/recipes/702b8cc409bdd815/680x482cq70/mun-tahu-telur-menu-anak-foto-resep-utama.jpg,"2 buah Tahu Cina tawar (bukan yg asem),4 batang daun bawang,6 siung bawang putih,1 buah telur bebek/ayam (sesuai kebutuhan),secukupnya garam gula kaldu jamur,2 gelas air matang,1 batang wortel,1 sdm Larutan maizena","Potong tahu kotak-kotak kecil, daun bawang juga potong kecill, Wortel dicacah, bawang putih di cacah halus, telur di kocok lepas,Tumis bawang putih hingga agak kering dan berubah warna, kemudian masukkan wortel dan tumis sebentar.,Masukkan air tunggu hingga mendidih,Setelah air mendidih, tunggu 10 menit agar wortelnya matang, lalu Masukkan kocokan telur tadi sambil di aduk,Bumbui kuahnya, setelah rasa nya pas, masukkan Tahu lalu aduk rata,Kalau sudah mau selesai, Campur larutan maizena dan aduk terus hingga agak kental. lalu matikan kompor dan baru masukkan daun bawangnya.,Tes rasa lagi, koreksi dan sajikan ❤️","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 4""}]","['cina', 'tawar', 'asem', 'bawang', 'bawang', 'putih', 'telur', 'bebekayam', 'kebutuhansecukupnya', 'garam', 'gula', 'kaldu', 'jamur', 'gelas', 'air', 'matang', 'wortel', 'larut', 'maizena']"
Pepes Tahu,https://img-global.cpcdn.com/recipes/a1b90137f833643b/680x482cq70/pepes-tahu-foto-resep-utama.jpg,"5 buah Tahu Putih,5 ekor Udang,6 siung Bawang Merah,4 siung Bawang Putih,2 biji Cabai Merah Besar,5 biji Cabai Rawit,2 butir Kemiri,1 sdt Garam,5 lembar Daun Pisang,Tusuk Gigi (untuk ikat pepes)","Pertama tama cuci bersih tahu lalu hancurkan di dalam wadah dan sisihkan. Uleg halus bumbu bawang merah, bawang putih, kemiri, Cabai merah besar, Cabai rawit dan udang sampai halus. Setelah halus masukkan bumbu dalam wadah yg berisi tahu yg telah dihancurkan tadi. Aduk sampai merata dan koreksi rasa,Siapkan daun pisang lalu masukkan adonan ke dalam daun pisang tusuk dgn tusuk gigi agar tidak meluber. Bentuk seperi lontong bungkus daun. Lakukan sampai adonan habis. Kemudian siapkan kukusan kukus selama 20menit. Angkat dan sajikan. Happy Cooking Moms 😉","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 11""},{""Reaksi"":""👏\n 5""}]","['putih', 'ekor', 'udang', 'bawang', 'merah', 'bawang', 'putih', 'biji', 'cabai', 'merah', 'biji', 'cabai', 'rawit', 'butir', 'kemiri', 'garam', 'pisangtusuk', 'gigi', 'pepes']"
Tahu Sutera tumis Sambal Matah,https://img-global.cpcdn.com/recipes/9668ba656f3ce0de/680x482cq70/tahu-sutera-tumis-sambal-matah-foto-resep-utama.jpg,"4 buah Tahu Sutera,BUMBU untuk lapisan tepung di tahu :,250 gr Tepung terigu,50 gr Tepung maizena,2 sdm Lada halus(sesuai selera),1 sachet Royko(sesuai selera),SAMBAL MATAH :,Cabai rawit merah sesuai selera iris halus,10 lembar Daun jeruk iris tipis,20 siung bawang merah iris tipis,5 siung bawang putih cincang halus,2 batang sereh iris tipis,secukupnya Minyak goreng,secukupnya Garam,secukupnya Gula,secukupnya Penyedap","Cuci bersih tahu sutera kemudian potong dadu dan sisihkan,ADONAN TEPUNG KERING : *Campur semua adonan tepung aduk rata.,ADONAN TEPUNG BASAH :

*ambil 5 sdm makan adonan tepung kering letakkan diwadah terpisah kemudian dicampur air untuk adonan basahnya (hasilnya tdk terlalu cair dan tidak terlalu kental),Masukkan tahu kedalam tepung kering aduk rata kemudian masukkan ke dalam adonan tepung basah yg sudah dicampur air lalu masukkan kembali kedalam adoanan kering kemudian goreng diminyak panas hingga kuning kecoklatan,kering dan matang.angkat sisihkan,SAMBAL MATAH :

campur semua bumbu iris,Panaskan minyak dipenggorengan kemudian tumis semua bumbu sambal matah sampe layu,campurkan garam,gula dan penyedap koreksi rasa lalu campurkan tahu yg sudah digoreng dengan terigu aduk rata.angkat dan sajikan","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 2""}]","['suterabumbu', 'lapis', 'tepung', 'tepung', 'terigu', 'tepung', 'maizena', 'lada', 'halussesuai', 'sachet', 'roykosesuai', 'selerasambal', 'matah', 'cabai', 'rawit', 'merah', 'jeruk', 'tipis', 'bawang', 'merah', 'tipis', 'bawang', 'putih', 'sereh', 'tipissecukupnya', 'minyak', 'gorengsecukupnya', 'garamsecukupnya', 'gulasecukupnya', 'sedap']"
Sup Makaroni Tahu,https://img-global.cpcdn.com/recipes/a6d45681d0f4d408/680x482cq70/sup-makaroni-tahu-foto-resep-utama.jpg,"3 buah Tahu kuning,4 sdm Makaroni,1 sdt Garam,1/2 sdt Lada putih bubuk,1 sdm bawang putih bubuk,50 gram Brokoli,1 sdm Minyak wijen,Air matang","Cuci bersih brokoli, lalu rendam dengan garam, pisahkan. Potong tahu bentuk dadu, pisahkan.,Rebus brokoli dan makaroni sampai agak lembek dan lembut untuk dimakan bayi, lalu masukan tahu, parsley bubuk, garam, lada putih bubuk, bawang putih bubuk dan minyak wijen, lalu aduk rata.,Sajikan selagi hangat.","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 3""}]","['kuning', 'makaroni', 'garam', 'lada', 'putih', 'bubuk', 'bawang', 'putih', 'bubuk', 'brokoli', 'minyak', 'wijenair', 'matang']"
Tahu Walik Makaroni,https://img-global.cpcdn.com/recipes/a198e563c4e299eb/680x482cq70/tahu-walik-makaroni-foto-resep-utama.jpg,"7 buah Tahu pong,1 Bks Makaroni,5 sdm Tepung tapioka,1 butir Telur,1/2 sdt Garam,1 sdt Kaldu jamur","Potong segitiga tahu Pong, balik dan keluarkan sisa tahu dalam wadah,Rebus makaroni hingga al dente, tiriskan lalu campur dengan sisa tahu, telur, tepung, garam dan kaldu jamur. Aduk rata,Isi adonan ke dalam tahu lalu goreng hingga matang,Angkat dan sajikan","[{""Reaksi"":""😋\n 6""},{""Reaksi"":""❤️\n 28""},{""Reaksi"":""👏\n 12""}]","['pong', 'bks', 'makaroni', 'tepung', 'tapioka', 'butir', 'telur', 'garam', 'kaldu', 'jamur']"
Pepes Tahu Sayuran,https://img-global.cpcdn.com/recipes/f255c9dd5987e92f/680x482cq70/pepes-tahu-sayuran-foto-resep-utama.jpg,"1 buah Tahu putih besar,1 iket daun kemangi,Beberapa lembar daun pisang,1 buah Telur ayam,1 buah jagung manis (pipil/sisir),1 buah wortel,3 btg daung bawang,5 siung bawang merah,4 siung bawang putih,3 butir kemiri,1 ruas kunyit,8 lembar daun salam,4 batamg sereh potong jadi 2,Sckpnya garam,Sckpnya gula pasir,Sckp micin,Sckpnya kaldu bubuk,Tusuk gigi","Haluskan bawang merah, bawang putih, kemiri.

Sisihkan dalam wadah,

Masukan tahu,

Masukan irisan daun bawang,

Masukan jagung manis yg sudah dipipil,

Masukan wortel yg sudah diiris,

Masukan daung kemangi,

Masukan Telur ayam. 

Aduk semua bahan hingga merata beri bumbu gula garam micin dan kaldu bubuk. Cek rasa.,Sisihkan dan didihkan air dalam dandang untuk mengukus tahu.

Jika rasa sudah sesuai gurih manis. bungkus 2 sdm tahu dengan daun pisang, beri daun salam dan sepotong 1/2 batang sereh disetiap bungkusnya lalu sematkan pakai tusuk gigi. Lakukan berulang kali hingga bahan habis terbungkus,Jika sudah selesai dan air dalam dandang sudah mendidih, susun bungkusan pepes tahu ke dalamnya.

Tutup, dan tunggu beberapa menit hingga dirasa tahu pepes sudah matang.

Selamat mencoba 🖤","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 4""},{""Reaksi"":""👏\n 2""}]","['putih', 'iket', 'kemangibeberapa', 'pisang', 'telur', 'ayam', 'jagung', 'manis', 'pipilsisir', 'wortel', 'btg', 'daung', 'bawang', 'bawang', 'merah', 'bawang', 'putih', 'butir', 'kemiri', 'kunyit', 'salam', 'batamg', 'sereh', 'sckpnya', 'garamsckpnya', 'gula', 'pasirsckp', 'micinsckpnya', 'kaldu', 'bubuktusuk', 'gigi']"
Roll Telur Tahu Macaroni (ala chef),https://img-global.cpcdn.com/recipes/0f9f0bdd97b1e691/680x482cq70/roll-telur-tahu-macaroni-ala-chef-foto-resep-utama.jpg,"1 buah Tahu putih,2 buah Telur,1 siung bawang putih,1/8 bgn bombay,1 sdm macaroni pipa,Sedikit daun bawang, seledrii,Secukupnya garam, merica, kaldu jamur, saos tiram, keju","Siapkan bahan. Haluskan tahu putih. Sisihkan,Rebus macaroni. Cincang bawang putih, bombay, seledri,daun bawang. Sisihkan,Jadikan satu semuanya. Aduk hingga rata. Beri garam, merica, kaldu jamur, saos tiram, keju. Aduk rata. Tes rasa.,Goreng sedkt2 sambil dibentuk. Seterusnya hingga habis. Potong dan siap dinikmati","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 12""},{""Reaksi"":""👏\n 2""}]","['putih', 'telur', 'bawang', 'putih', 'bgn', 'bombay', 'macaroni', 'pipasedikit', 'bawang', 'seledriisecukupnya', 'garam', 'merica', 'kaldu', 'jamur', 'saos', 'tiram', 'keju']"
